GROUP_NUMBER,MEDIA BATCH,BLOOD BATCH,MEDIA BATCH Art v DSM1
Dd2-B,2,A,2
Dd2-C,3,A,3
Dd2-D,3,B,3
Dd2-F,5,C,5
Dd2-G,6,D,6
C12-A-1R,1,A,1
C12-B,2,A,2
C12-C,3,A,3
C12-D,3,B,3
C12-E,4,C,4
C710-G,NA,NA,NA
C710-B,1,A,1
C710-C,2,A,2
C710-E,3,C,3
C710-H,4,D,4
BAT-A (+),1,1,6
BAT-A (-),1,1,6
BAT-B (+),1,1,6
BAT-B (-),1,1,6
BAT-C (+),2,2,7
BAT-C (-),2,2,7
BAT-D (+),2,2,7
BAT-D (-),2,2,7
BAT-E (+),3,3,8
BAT-E (-),3,3,8
PUR-A (+),1,1,6
PUR-A (-),1,1,6
PUR-B (+),1,1,6
PUR-B (-),1,1,6
PUR-C (+),2,2,7
PUR-C (-),2,2,7
PUR-D (+),3,3,8
PUR-D (-),3,3,8
PUR-E (+),3,3,8
PUR-E (-),3,3,8
