PATHWAY_SORTORDER	BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	COMP_ID	PLATFORM	CHEMICAL_ID	RI	MASS	CAS	PUBCHEM	CHEMSPIDER	KEGG	                               Group   HMDB_ID	Dd2_B	Dd2_C	Dd2_D	Dd2_F	Dd2_G	C12_A_1R	C12_B	C12_C	C12_D	C12_E	C710_A1	C710_B	C710_C	C710_E	C710_H	BAT_A_minus	BAT_B_minus	BAT_C_minus	BAT_D_minus	BAT_E_minus	BAT_A_plus	BAT_B_plus	BAT_C_plus	BAT_D_plus	BAT_E_plus	PUR_A_minus	PUR_B_minus	PUR_C_minus	PUR_D_minus	PUR_E_minus	PUR_A_plus	PUR_B_plus	PUR_C_plus	PUR_D_plus	PUR_E_plus
1543	12-dilinoleoyl-GPC (18:2/18:2)	Lipid	Phospholipid Metabolism	52603	LC/MS Pos Late	100008903	2006	782.56944	998-06-1	5288075	4450312			9958462	25412194	13177095	19067852	28021056	4535353	24644210	9740418	17436072	6645998	14456310	20299616	10263421	4823600	13067917	3704772	5552792	6029829	3079520	5602949	6545813	3285832	5931838	3653526	5062160	7504818	4326758	6280981	5413780	4731176	5639953	3161480	5982225	4737595	5383388
1544	12-dilinoleoyl-GPE (18:2/18:2)*	Lipid	Phospholipid Metabolism	53174	LC/MS Pos Late	100009217	2083	740.52248		9546812	7825762			6843417	11541434	7762372	11031479	13970843	2812501	13304280	5026699	11566811	4078797	6055237	12293032	6155094	2483132	7815246	2258555	4578786	4090234	2023171	6605658	3480955	2975931	3492813	2552838	4853608	7435392	2913231	4384104	5355662	5748747	8811629	2009542	4313012	4208286	6005319
1483	12-dioleoyl-GPC (18:1/18:1)*	Lipid	Phospholipid Metabolism	52457	LC/MS Pos Late	100008905	2346	786.60074	4235-95-4	10350317	8525772			22009348	45214840	29994254	22051146	31978024	11310244	41642640	24722236	40215892	19160890	24632840	40586864	25219648	14662666	19026470	5127674	9679877	11388501	6250355	14703085	7882383	5728486	11724475	7188406	11119395	6485177	6056389	6330135	12914057	11970508	5547437	3588419	6915175	8409939	9409878
1527	12-dioleoyl-GPE (18:1/18:1)	Lipid	Phospholipid Metabolism	52609	LC/MS Pos Late	100008906	2485	744.55378	5/1/04	9546757	7825707			31241744	51176972	29604998	30136958	34285728	13185988	50507156	23311816	50948120	16798860	23938760	44672128	29721968	11635644	21788528	8623863	12899570	12369842	7356482	18022650	13916072	9904381	11914225	8633392	15336142	9554933	10146428	14051220	14607504	17504280	11171900	7897876	13243464	14012467	15532676
1476	12-dipalmitoyl-GPC (16:0/16:0)	Lipid	Phospholipid Metabolism	19130	LC/MS Pos Late	100000657	2365	734.56944	63-89-8	452110	398235		HMDB00564	269271488	379017760	339221216	382882112	352081088	147903680	340334208	228975024	449594272	250385792	299149920	318698688	291886272	170844464	333808320	34688456	43835304	52047820	31122960	62545692	47479364	30867660	46223624	33482458	46712300	30403298	39522676	39943200	58753908	48709660	34895944	28427224	40083904	45272392	41174356
1548	12-distearoyl-GPC (18:0/18:0)	Lipid	Phospholipid Metabolism	19132	LC/MS Pos Late	100000660	3066	790.63204	816-94-4	94190	85004			4657727	13353535	8831706	21057492	12969396	2125226	9444248	6087458	9970408	9707047	9446492	10152973	6725545	8427864	10092812	396467	853304	845349	400462	900659	721760	573492	777079	474031	852307	634062	621677	607704	833503	795780	841502	429022	617272	703399	748873
1726	1-(1-enyl-oleoyl)-GPE (P-18:1)*	Lipid	Lysoplasmalogen	44621	LC/MS Neg	100005372	6250	462.29899							223393		663388			246780		2155597			157411																							
1714	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	Lipid	Plasmalogen	52689	LC/MS Pos Late	100009014	2154	766.57452			24767495			1838143	2724148	2274957	3232497	3034070	558132	3007233	1609518	2600613	2113475	1813431	2283162	1623856	1242120	2123174	2310264	3060640	3342591	1883264	3402829	5013012	2106313	3493483	1851008	3099786	2076647	3005415	4490116	2614540	2889401	2373796	2027143	4582103	2536718	3286512
1708	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	Lipid	Plasmalogen	52673	LC/MS Pos Late	100009002	2270	724.52757			24769238			6093250	10282042	7855094	9548219	9609771	2228860	11689831	7109264	11865078	6578088	6533840	8356461	6744293	3783097	7247127	19183084	20183000	23332126	12946897	24333706	26840846	15307956	22451724	15292080	19028752	16518902	19644542	24690394	18556034	21593364	15960573	14811360	22600212	17341698	22387788
1715	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	Lipid	Plasmalogen	52682	LC/MS Pos Late	100009009	2226	742.57452			24767486			1505126	3182771	2056862	4027279	3621025	428420	4156870	1226784	2945956	1312782	1673118	2589497	1447095	869184	1985836	2396443	3204482	3851053	1830491	2611143	4693883	2265146	3711959	1875227	2377177	1704736	2537753	4233006	2074601	2474280	2136154	1605965	3931001	1940214	2489083
