SAMPLE_NAME,UNVA-00324,UNVA-00325,UNVA-00326,UNVA-00327,UNVA-00328,UNVA-00329,UNVA-00330,UNVA-00331,UNVA-00332,UNVA-00333,UNVA-00334,UNVA-00335,UNVA-00336,UNVA-00337,UNVA-00338,UNVA-00339,UNVA-00340,UNVA-00341,UNVA-00342,UNVA-00343,UNVA-00344,UNVA-00345,UNVA-00346,UNVA-00347,UNVA-00348,UNVA-00349,UNVA-00350,UNVA-00351,UNVA-00352,UNVA-00353,UNVA-00354,UNVA-00355,UNVA-00356,UNVA-00357,UNVA-00358
SAMPLE_ID,2563620,2563621,2563622,2563623,2563624,2563625,2563626,2563627,2563628,2563629,2563630,2563631,2563632,2563633,2563634,2563635,2563636,2563637,2563638,2563639,2563640,2563641,2563642,2563643,2563644,2563645,2563646,2563647,2563648,2563649,2563650,2563651,2563652,2563653,2563654
CLIENT_IDENTIFIER,Dd2_B,Dd2_C,Dd2_D,Dd2_F,Dd2_G,C12_A_1R,C12_B,C12_C,C12_D,C12_E,C710_A1,C710_B,C710_C,C710_E,C710_H,BAT_A_minus,BAT_B_minus,BAT_C_minus,BAT_D_minus,BAT_E_minus,BAT_A_plus,BAT_B_plus,BAT_C_plus,BAT_D_plus,BAT_E_plus,PUR_A_minus,PUR_B_minus,PUR_C_minus,PUR_D_minus,PUR_E_minus,PUR_A_plus,PUR_B_plus,PUR_C_plus,PUR_D_plus,PUR_E_plus
CLIENT_DATE,11_29_2014,12_7_2014,12_10_2014,1_10_2015,2_11_2015,11_21_2014,11_29_2014,12_9_2014,12_13_2014,12_21_2014,11_18_2014,11_30_2014,12_11_2014,12_23_2014,2_17_2015,4_26_2015,5_12_2015,5_15_2015,5_23_2015,6_9_2015,4_27_2015,5_12_2015,5_15_2015,5_24_2015,6_9_2015,4_10_2015,4_30_2015,5_6_2015,6_6_2015,6_11_2015,4_11_2015,4_30_2015,5_6_2015,6_7_2015,6_11_2015
CLIENT_PROTEIN,113.3253,81.1396,126.8209,108.0675,141.7274,70.8193,90.7663,132.1103,153.268,160.4808,59.0202,89.0743,117.2038,61.9053,141.2466,67.0641,118.115,87.9012,130.0936,128.5335,91.0268,121.2406,119.1568,98.3198,125.9289,125.408,120.9837,100.4035,110.3011,114.4685,120.1987,123.3243,104.5709,120.7196,128.5335
DSDNA_ASSAY,24.391,57.32,42.092,70.693,81.4,2.912,62.828,23.009,92.118,13.346,46.141,56.669,31.58,11.608,35.99,0.587,1.216,1.739,0.557,2.083,0.927,0.476,0.985,0.656,1.326,0.547,0.673,0.543,1.563,1.118,0.325,0.259,0.648,0.599,0.869
GROUP_DESCRIPTION,"Sensitive 1 _ WT; Wild type parasites, not exposed","Sensitive 1 _ WT; Wild type parasites, not exposed","Sensitive 1 _ WT; Wild type parasites, not exposed","Sensitive 1 _ WT; Wild type parasites, not exposed","Sensitive 1 _ WT; Wild type parasites, not exposed",Resistant 1 _ Low; low dose - Drug 1,Resistant 1 _ Low; low dose - Drug 1,Resistant 1 _ Low; low dose - Drug 1,Resistant 1 _ Low; low dose - Drug 1,Resistant 1 _ Low; low dose - Drug 1,Resistant 1 _ High; high dose - Drug 1,Resistant 1 _ High; high dose - Drug 1,Resistant 1 _ High; high dose - Drug 1,Resistant 1 _ High; high dose - Drug 1,Resistant 1 _ High; high dose - Drug 1,"Resistant 1; Clinical isolate, High level resistance to Drug 2- UNEXPOSED TO DRUG","Resistant 1; Clinical isolate, High level resistance to Drug 2- UNEXPOSED TO DRUG","Resistant 1; Clinical isolate, High level resistance to Drug 2- UNEXPOSED TO DRUG","Resistant 1; Clinical isolate, High level resistance to Drug 2- UNEXPOSED TO DRUG","Resistant 1; Clinical isolate, High level resistance to Drug 2- UNEXPOSED TO DRUG","Resistant 1; Clinical isolate, High level resistance to Drug 2- EXPOSED TO DRUG","Resistant 1; Clinical isolate, High level resistance to Drug 2- EXPOSED TO DRUG","Resistant 1; Clinical isolate, High level resistance to Drug 2- EXPOSED TO DRUG","Resistant 1; Clinical isolate, High level resistance to Drug 2- EXPOSED TO DRUG","Resistant 1; Clinical isolate, High level resistance to Drug 2- EXPOSED TO DRUG","Resistant 2; Clinical isolate, Low level resistance to Drug 2- UNEXPOSED TO DRUG","Resistant 2; Clinical isolate, Low level resistance to Drug 2- UNEXPOSED TO DRUG","Resistant 2; Clinical isolate, Low level resistance to Drug 2- UNEXPOSED TO DRUG","Resistant 2; Clinical isolate, Low level resistance to Drug 2- UNEXPOSED TO DRUG","Resistant 2; Clinical isolate, Low level resistance to Drug 2- UNEXPOSED TO DRUG","Resistant 2; Clinical isolate, Low level resistance to Drug 2- EXPOSED TO DRUG","Resistant 2; Clinical isolate, Low level resistance to Drug 2- EXPOSED TO DRUG","Resistant 2; Clinical isolate, Low level resistance to Drug 2- EXPOSED TO DRUG","Resistant 2; Clinical isolate, Low level resistance to Drug 2- EXPOSED TO DRUG","Resistant 2; Clinical isolate, Low level resistance to Drug 2- EXPOSED TO DRUG"
GROUP_ID,WT,WT,WT,WT,WT,Res1_LowD1,Res1_LowD1,Res1_LowD1,Res1_LowD1,Res1_LowD1,Res1_HighD1,Res1_HighD1,Res1_HighD1,Res1_HighD1,Res1_HighD1,Res1_UE,Res1_UE,Res1_UE,Res1_UE,Res1_UE,Res1_Exp,Res1_Exp,Res1_Exp,Res1_Exp,Res1_Exp,Res2_UE,Res2_UE,Res2_UE,Res2_UE,Res2_UE,Res2_Exp,Res2_Exp,Res2_Exp,Res2_Exp,Res2_Exp
TOTAL_PARASITES,540000000,349680000,331350000,141000000,117000000,243210000,670560000,237360000,437400000,147150000,46875000,448875000,345450000,64701000,89775000,3271125,2892500,2925000,6946875,6506500,3271125,2892500,2925000,6946875,6506500,2502500,2262000,3315000,2632500,1306500,1306500,2502500,2262000,3315000,2632500
TUBE_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,21,23,25,16,18,20,22,24,27,29,31,33,35,26,28,30,32,34
TUBE_LABEL,Dd2-B,Dd2-C,Dd2-D,Dd2-F,Dd2-G,C12-A-1R,C12-B,C12-C,C12-D,C12-E,C710-A1,C710-B,C710-C,C710-E,C710-H,BAT-A (-),BAT-B (-),BAT-C (-),BAT-D (-),BAT-E (-),BAT-A (+),BAT-B (+),BAT-C (+),BAT-D (+),BAT-E (+),PUR-A (-),PUR-B (-),PUR-C (-),PUR-D (-),PUR-E (-),PUR-A (+),PUR-B (+),PUR-C (+),PUR-D (+),PUR-E (+)
